Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Direction,PhiScore,KanScore,Description,Yards,PlayType,Runner,Receiver,ForcedBy,DefendedBy,TackledBy,TackleAssist,InterceptedBy,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,PassDirection,IsSack,IsChallenge,IsChallengeReverse,Challenger,IsInterception,IsFumble,FumbleRecoveredByOffense,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RunDirection,IsPenaltyAccepted,PenaltyTeam,PenaltyType,PenaltyYards
1,15,00,KAN,PHI,NA,NA,35,KAN,0,0,"Harrison Butker kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,15,00,PHI,KAN,1,10,25,PHI,0,0,Miles Sanders up the middle for -1 yards. Miles Sanders fumbles (forced by Trent McDuffie). Miles Sanders fumbles out of bounds,-1,Run,Miles Sanders,NA,Trent McDuffie,NA,NA,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,1,1,0,0,0,Middle,0,NA,NA,0
1,14,26,PHI,KAN,2,11,24,PHI,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Trent McDuffie and L'Jarius Sneed),6,Pass,NA,DeVonta Smith,NA,NA,Trent McDuffie,L'Jarius Sneed,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,44,PHI,KAN,3,5,30,PHI,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 12 yards (tackle by Justin Reid),12,Pass,NA,DeVonta Smith,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,16,PHI,KAN,1,10,42,PHI,0,0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0,Pass,NA,AJ Brown,NA,NA,NA,NA,NA,0,1,1,0,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,13,10,PHI,KAN,2,10,42,PHI,0,0,Jalen Hurts scrambles left end for 11 yards (tackle by Justin Reid and L'Jarius Sneed),11,Scramble,Jalen Hurts,NA,NA,NA,Justin Reid,L'Jarius Sneed,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,12,31,PHI,KAN,1,10,47,KAN,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 13 yards (tackle by Justin Reid),13,Pass,NA,Dallas Goedert,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,12,02,PHI,KAN,1,10,34,KAN,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 23 yards (tackle by Willie Gay),23,Pass,NA,DeVonta Smith,NA,NA,Willie Gay,NA,NA,0,1,0,0,Short,Right ,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,11,28,PHI,KAN,1,10,11,KAN,0,0,Boston Scott up the middle for 9 yards (tackle by Juan Thornhill and Trent McDuffie),9,Run,Boston Scott,NA,NA,NA,Juan Thornhill,Trent McDuffie,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,11,01,PHI,KAN,2,1,2,KAN,0,0,Boston Scott up the middle for -2 yards (tackle by Juan Thornhill),-2,Run,Boston Scott,NA,NA,NA,Juan Thornhill,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,10,22,PHI,KAN,3,3,4,KAN,0,0,"Kenneth Gainwell up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kenneth Gainwell up the middle for 3 yards (tackle by Jaylen Watson)",3,Run,Kenneth Gainwell,NA,NA,NA,Jaylen Watson,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,10,13,PHI,KAN,1,1,1,KAN,6,0,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Chris Jones: Defensive Offside, 5 yards (declined)",1,Run,Jalen Hurts,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,0,0,0,NA,0,0,0,1,0,0,Middle,0,KAN,Defensive Offside,5
1,10,09,PHI,KAN,NA,NA,15,KAN,7,0,Jake Elliott kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,10,09,PHI,KAN,NA,NA,35,PHI,7,0,"Jake Elliott kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,10,09,KAN,PHI,1,10,25,KAN,7,0,Isiah Pacheco up the middle for 3 yards (tackle by Javon Hargrave),3,Run,Isaiah Pacheco,NA,NA,NA,Javon Hargrave,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,9,33,KAN,PHI,2,7,28,KAN,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 20 yards (tackle by T.J. Edwards),20,Pass,NA,Travis Kelce,NA,NA,TJ Edwards,NA,NA,0,1,0,0,Short,Middle,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,8,56,KAN,PHI,1,10,48,KAN,7,0,Patrick Mahomes scrambles right end for 8 yards (tackle by Avonte Maddox),8,Scramble,Patrick Mahomes,NA,NA,NA,Avonte Maddox,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
1,8,21,KAN,PHI,2,2,44,PHI,7,0,Isiah Pacheco left tackle for 24 yards (tackle by Marcus Epps),24,Run,Isaiah Pacheco,NA,NA,NA,Marcus Epps,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Left,0,NA,NA,0
1,7,44,KAN,PHI,1,10,20,PHI,7,0,Isiah Pacheco up the middle for 2 yards (tackle by Fletcher Cox),2,Run,Isaiah Pacheco,NA,NA,NA,Fletcher Cox,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
